time,side_mid_sensor_1,side_mid_sensor_2,side_upper_sensor_1,side_upper_sensor_2,top_sensor_1,top_sensor_2,top_edge_sensor_1,top_edge_sensor_2
7.98546E-06,1.84827E-12,4.61406E-14,1.48587E-12,4.61855E-14,-4.57109E-13,6.54742E-15,1.90204E-12,4.90078E-14
8.02148E-06,2.01156E-12,5.58061E-14,1.82696E-12,5.46764E-14,-4.23361E-13,4.68774E-15,1.99617E-12,6.05634E-14
8.0575E-06,2.21191E-12,6.68123E-14,2.17403E-12,6.49563E-14,-4.10921E-13,3.49132E-15,2.05164E-12,7.29817E-14
8.09352E-06,2.44425E-12,7.91765E-14,2.48313E-12,7.72228E-14,-3.80779E-13,3.38895E-15,2.11106E-12,8.57675E-14
8.12953E-06,2.69025E-12,9.28718E-14,2.73782E-12,9.15082E-14,-2.81723E-13,4.42513E-15,2.21927E-12,9.86143E-14
8.16555E-06,2.92816E-12,1.07818E-13,2.95174E-12,1.07682E-13,-8.18601E-14,6.18181E-15,2.40764E-12,1.11532E-13
8.20157E-06,3.14545E-12,1.23871E-13,3.16069E-12,1.25406E-13,2.10092E-13,7.85251E-15,2.68708E-12,1.24868E-13
8.23759E-06,3.34839E-12,1.40819E-13,3.40775E-12,1.44068E-13,5.42606E-13,8.45603E-15,3.05584E-12,1.39189E-13
8.27361E-06,3.56392E-12,1.58378E-13,3.72415E-12,1.6281E-13,8.3722E-13,7.13002E-15,3.51016E-12,1.55028E-13
8.30962E-06,3.83203E-12,1.76193E-13,4.11518E-12,1.80679E-13,1.01874E-12,3.41709E-15,4.0457E-12,1.72578E-13
8.34564E-06,4.19133E-12,1.93836E-13,4.56333E-12,1.96901E-13,1.04983E-12,-2.54638E-15,4.65532E-12,1.91444E-13
8.38166E-06,4.66367E-12,2.10817E-13,5.04699E-12,2.11133E-13,9.5212E-13,-1.00057E-14,5.33217E-12,2.10577E-13
8.41767E-06,5.24439E-12,2.26594E-13,5.55875E-12,2.23528E-13,8.01416E-13,-1.77471E-14,6.07295E-12,2.28446E-13
8.45369E-06,5.90316E-12,2.40594E-13,6.11117E-12,2.34561E-13,7.00191E-13,-2.44024E-14,6.87397E-12,2.4341E-13
8.48971E-06,6.59578E-12,2.52232E-13,6.73275E-12,2.44651E-13,7.40007E-13,-2.88174E-14,7.7269E-12,2.54135E-13
8.52572E-06,7.28303E-12,2.60938E-13,7.45915E-12,2.53779E-13,9.6463E-13,-3.03873E-14,8.6228E-12,2.59901E-13
8.56174E-06,7.94885E-12,2.66188E-13,8.31848E-12,2.61298E-13,1.34662E-12,-2.92535E-14,9.5573E-12,2.60675E-13
8.59775E-06,8.6103E-12,2.67536E-13,9.31372E-12,2.66014E-13,1.79387E-12,-2.62787E-14,1.05271E-11,2.56961E-13
8.63377E-06,9.31427E-12,2.64646E-13,1.04149E-11,2.66511E-13,2.18834E-12,-2.27702E-14,1.15245E-11,2.49543E-13
8.66978E-06,1.01218E-11,2.57327E-13,1.15686E-11,2.61546E-13,2.43336E-12,-2.0025E-14,1.25403E-11,2.39233E-13
8.7058E-06,1.10854E-11,2.45551E-13,1.27175E-11,2.50371E-13,2.48347E-12,-1.88548E-14,1.35701E-11,2.26708E-13
8.74181E-06,1.22287E-11,2.29477E-13,1.38187E-11,2.32914E-13,2.35369E-12,-1.92596E-14,1.4614E-11,2.12428E-13
8.77783E-06,1.35358E-11,2.09461E-13,1.48589E-11,2.09824E-13,2.11433E-12,-2.03753E-14,1.56746E-11,1.96579E-13
8.81384E-06,1.49569E-11,1.86054E-13,1.58633E-11,1.82425E-13,1.86481E-12,-2.07334E-14,1.67627E-11,1.79061E-13
8.84986E-06,1.64272E-11,1.59994E-13,1.68891E-11,1.52585E-13,1.68568E-12,-1.8764E-14,1.78981E-11,1.59505E-13
